domain,control_id,description,label,version
AM,AM 4.6,"Access and privilege allocation for medical devices shall be provided to defined roles, with essential qualification and experience required to operate. The healthcare entity shall : Secure and safe -guard  medical devices and equipment in accordance with its classification scheme and risk factor",Basic,ADHICS_V1
AM,AM 4.7,"The healthcare entity shall prevent unauthorized disclosure, modifi cation, destruction or loss of patient health information stored on medical devices and equipment. Entities shall ensure; 1. Information stored within the medical devices and equipment shall be encrypted 2. Electronic communication between medical devices and e quipment shall be encrypted 3. Healthcare entities shall define minimum essential qualification required to operate and/or handle medical devices and equipment 4. Copies of valuable health data is moved to a secure storage/location to reduce the risk of its data  damage or loss",Transitional,ADHICS_V1
AM,AM 4.8,Healthcare facilities shall consider wired communication facility  for medical devices and equipment. Usage of wireless communication facility with medical devices and equipment shall be avoided  to the extent possible .,Transitional,ADHICS_V1
AM,AM 4.9,"Entity shall deploy technology solution to white list removable media, and shall be complemented by content encryption and biometric based access provisioning.",Advanced,ADHICS_V1
AM,AM 4.10,"The healthcare entity shall establish control procedures f or the removal, movement, and transfer of information assets (information, equipment, medical devices, and information processing equipment/systems). Healthcare entities shall; 1. Authorize removal, movement and transfer of information assets 2. Maintain records  of removal, movement and transfer UAE IA Reference: T1.3.3,  T1.4.1, T2.3.7 Page 36 of 116",Transitional,ADHICS_V1
AM,AM 5.1,"The healthcare entity shall dispose information assets, when no longer required :  by the entity  on basis of regulatory demands  for legal proceedings",Basic,ADHICS_V1
AM,AM 5.2,The healthcare entity shall establish a control process that ensures data once destroyed is not recovered,Basic,ADHICS_V1
AM,AM 5.3,"Media, both digital and physical, when no lo nger required shall be destroyed by the entity",Basic,ADHICS_V1
AM,AM 5.4,"The healthcare entity shall establish control procedures for the secure disposal or reuse of media, equipment, devices and systems, containing classified information. The healthcare entity  shall : 1. Ensure sensitive data and licensed software has been securely removed beyond recovery, prior to disposal",Transitional,ADHICS_V1
AM,AM 5.5,"Retention requirement of data/information contained within media and system shall be verified and complied with, prior to disposa l",Basic,ADHICS_V1
AM,AM 5.6,All disposal requirement shall be authorized by entity management prior to disposal,Basic,ADHICS_V1
AM,AM 5.7,"The healthcare entity shall maintain records, on media disposal. The records shall have, but not be limited to, the following fields :  Informa tion and/or asset owner  Type of media  Classification  Disposal type  Reason for disposal  Retention expiry date (if data)  Data removal confirmation and evidence  Disposal authorized by UAE IA Reference: T1.4.2, T2.3.6 Page 37 of 116 3. Physical and Environmental Sec urity Information and information processing equipment(s)/facilities has greater dependence on physical environment to achieve business objectives. Physical environment and its security are foundational elements to define secure data processing, data stora ge, data communication/sharing , data hosting  and data disposal .   Physical and environmental security programs and efforts define the various measures or controls that protect healthcare entities from loss of connectivity, availability of information proce ssing facilities , storage (backup and archival) equipment(s)/facilities and medical equipment’s/devices caused by theft, fire, flood, intentional destruction, unintentional damage, mechanical failure, power failure,  etc. Physical security measures shall b e adequate to deal with foreseeable threats and should be tested periodically for their effectiveness. The following aspects of physical and environmental security shall be considered;  Physical protection of data center  and information processing equipment (s)/facilities  Physical entry control for secure areas  Medical devices/equipment(s) protection  Heating, ventilation, and air conditioning  of critical areas and work places  Supporting mechanical and electrical equipment’s  Surveillance of critical areas and work places  Security and protection of physical archives  Fire and environmental protection  Visitor management Objective : To ensure that information assets receive adequate physical and environmental protection, and to prevent or reduce probabilities of phy sical and environmental control/security compromises (loss, damage, theft, interference, etc.) Supporting or dependent entity policy references: 1) Clear Desk and Clear Screen Policy Page 38 of 116",Advanced,ADHICS_V1
PE,PE 1.1,"The healthcare entity shall develop, implement and maintain a physical and environmental security policy, to ensure adequate physical and environmental protection of entities information assets. The policy sh all: 1. Be relevant and appropriate for entities operational and risk environment, concerning internal and external threats 2. Address requirements of secure storage of hazardous or combustible materials that ensures avoidance of :  human injuries or loss of life  damage to information and information systems 3. Consider classification of information assets and their physical presence 4. Define roles and responsibilities for actions expected out of physical and environmental security policy 5. Be reviewed, updated and mainta ined at planned intervals or during significant changes to operating or risk environment, whichever is earlier 6. Be r ead and formally acknowledged by all users 7. Be approved by entity’s top management or head of the entity, and shall be communicated to all emp loyees and third parties having role in care delivery",Basic,ADHICS_V1
PE,PE 1.2,The healthcare entity shall establish procedures and guidelines in support of policy implementation,Transitional,ADHICS_V1
PE,PE 1.3,"The physical and environmental policy shall consider equipment and medical devices, with specific focus on their : 1. Physical and environmental demands, as needed by the manufacturer recommendations and regulatory requirements 2. Placement and physical access 3. Probabilities of data loss during maintenance, decommissioning and/ o r authorized off -site activities UAE IA Reference: T2.1.1, T2.3.5 Page 39 of 116",Basic,ADHICS_V1
PE,PE 2.1,"The healthcare entity shall define and use security perimeters to protect facilities that contain information and information systems. The healthcare entity shall : 1. Identify secure areas, and define security perimeter, based on information assets contained within or information being processed 2. Ensure adequate securi ty counter measures are applie d to identified secure areas to protect information and information systems within 3. Secure areas of medical equipment and devices hosting or usage to avoid and minimize probabilities of unauthorized access and usage 4. Consider the impact of compromise of conf identiality, integrity and availability of information or information assets while applying security counter measures",Basic,ADHICS_V1
PE,PE 2.2,Allocate secure private areas to discuss personal health information by authorized stakeholders,Advanced,ADHICS_V1
PE,PE 2.3,"Secure area s shall be protected by appropriate control measures to ensure only authorized personnel are provided access and authorized activities are being conducted. The healthcare entity shall : 1. Maintain List of authorised personnel having access to secure areas 2. Aut henticate all persons accessing secure areas 3. Maintain records for secure area access 4. Ensure that all employees and contractors wear distinguished form of visible identification (Badge/ID cards)  within the premises of the entity 5. Ensure the locking mechanism s on all access doors are adequate, and alarms configured to alert prolonged open -state of doors 6. Escort contractors or third parties while inside the secure areas 7. Deploy closed circuit television (CCTV/surveillance camera) in identified vantage points of s ecure areas  as required by Monitoring and Control Centre (MCC) Abu Dhabi 8. Preserve CCTV footage for a period as required by Monitoring and Control Centre (MCC) Abu Dhabi Page 40 of 116",Basic,ADHICS_V1
PE,PE 2.4,"The healthcare entity shall nominate owners for each identified secure ar eas. Nominated owners of secure area shall : 1. Review access records/logs and surveillance footage at least on a quarterly basis 2. Reconcile list of authorized users, having access to secure areas 3. Maintain a list of physical key inventory, as with whom the key s of secure areas are with",Transitional,ADHICS_V1
PE,PE 2.5,"Offices, meeting rooms and facilities in support of healthcare service delivery shall be equipped with adequate physical security measures. The healthcare entity shall : 1. Demarcate and isolate public access are as and key work areas, to restrict public or visitor or customer access to key work areas of the facilities 2. Avoid obvious signs that indicates the type of information or activities in the secure areas",Basic,ADHICS_V1
PE,PE 2.6,"The healthcare entity  shall design and ap ply physical protection against natural disasters, environmental threats, external attacks and/or accidents. The healthcare entity shall : 1. Ensure that fall -back equipment, device, system and backup media are protected from damage caused by natural or man -made disasters 2. Battery power backup shall be available to provide power to key information systems and critical data cen tre infrastructures",Basic,ADHICS_V1
PE,PE 2.7,The healthcare entity shall ensure that physical and environmental protection countermeasures and proced ures applied are aligned with the outcome of Risk Assessment and regulatory mandates.,Transitional,ADHICS_V1
PE,PE 2.8,"The healthcare entity shall design physical protection and guidelines for working in secure areas. The healthcare entity shall : 1. Supervise activities  in secure areas 2. Control access of mobile, portable and surveillance devices/equipment/utilities, to secure areas",Basic,ADHICS_V1
PE,PE 2.9,"Ensure all personnel accessing secure areas is aware of security requirements and arrangements, and accepts rules and guideline s concerning security measures. The healthcare entity shall : 1. Educate employees and contractors, not to discuss personal health information in public areas Page 41 of 116",Transitional,ADHICS_V1
PE,PE 2.10,"The healthcare entity shall have segregated delivery and loading areas and shal l establish control measures over entry and exit. The healthcare entity shall : 1. Establish access procedures to loading and unloading areas to restrict access to only authorized personnel 2. Inspect and register incoming and outgoing materials, in accordance with healthcare entity’s asset management procedures UAE IA Reference: T2.2.1 , T2.2.2, T2.2.3, T2.2.4, T2.2.5, T2.2.6 Page 42 of 116",Basic,ADHICS_V1
PE,PE 3.1,The healthcare entity shall site/p osition equipment and medical devices in manner that they are always protected. The healthcare entity shall : 1. Establish guidelines on physical protection and unauthorized access of equipment and medical devices 2. Consider environmental risk condition  while po sitioning of equipment and medical devices,Basic,ADHICS_V1
PE,PE 3.2,The healthcare entity shall protect equipment and medical devices from disruptions caused by failures in supporting utilities. The healthcare entity shall; 1. Ensure uninterrupted power provisions to in formation processing systems,Transitional,ADHICS_V1
PE,PE 3.3,"The healthcare entity shall maintain supporting equipment, to ensure their continued  availability. The healthcare entity shall : 1. Document supplier s’ recommendations for the maintenance of equipment and make them available to maintenance personnel. 2. Establish operating procedures for commissioning, maintenance and decommissioning of equipment activities 3. Establish maintenance schedule of supporting utilities, and maintain up - to date records for maintenance carri ed out",Advanced,ADHICS_V1
PE,PE 3.4,"Power, telecommunication and cables carrying data shall be secured and protected. The healthcare entity shall : 1. Ensure that power, telecommunication and data cables are protected against physical tampering 2. Segregate power and telecom munication/data cables  to avoid interference Page 43 of 116",Basic,ADHICS_V1
PE,PE 3.5,"The healthcare entity shall identify and apply security measures to protect equipment, medical devices and information processing systems while off - site. The healthcare entity shall : 1. Ensure manuf acturer’s recommendation and instructions are followed, while equipment, medical devices and information processing systems are off -site 2. Ensure that movement and possession (chain of custody) logs for off -site equipment, medical devices and information pro cessing systems maintained and verified 3. Ensure security measures are applied to protect off -site equipment, medical devices and information processing systems from probabilities of information leakage, tampering and unauthorized activities",Advanced,ADHICS_V1
PE,PE 3.6,"The healthcare entity shall ensure that unattended equipment, medical devices and information processing systems are protected against information leakage and unauthorized activities. The healthcare entity shall : 1. Define user responsibilities and establish  procedures when leaving equipment, medical devices and information processing systems unattended 2. Implement controls to protect equipment, medical devices and information processing systems when left unattended",Basic,ADHICS_V1
PE,PE 3.7,"The healthcare entity shall def ine and enforce a clear desk and clear screen policy to paper documents, removable storage media, and information processing systems. The clear desk and clear screen policy shall : 1. Define user responsibilities with respect to clear desk and clear screen requirements 2. Be appropriate to the purpose and objectives of the healthcare entity 3. Read and acknowledged by all employees and contractors of the healthcare entity UAE IA Reference: T2.3.1, T2.3.2, T2.3.3, T2.3.4, T2.3.5 , T2.3.7,  T2.3.8, T2.3.9 Page 44 of 116 4. Access  Control Healthcare entities ability to provide authorized access and its commitment to control unauthorized access to information and information processing systems under its custody are key elements to demonstrate the entities’ objective interest to prot ect information that belongs to:  Its customer s,  Patient s of the Abu Dhabi healthcare ecosystem,  The Government , and  The healthcare entit ies themselves. The influence of information on the delivery of healthcare and related services and the increased depend ence on application and technology, demands that the avenues and provisions of access are strictly controlled.  It is essential that healthcare entities understand the responsibilities concerning access management and are accountable for the consequences ar ising from breaches or disclosures from their respective areas of authority. Healthcare entities shall define policy mandates and process mechanisms essential to secure and protect their information and information systems.  Healthcare entities shall take specific care when personal health information is being accessed and used  s, and shall define access criteria that conforms  to the following facts:  A healthcare relationship exists between the user and the data subject (the subject of care whose personal h ealth information is being accessed) ,  The user is carrying out an activit y on behalf of the data subject,  There is a need for specific data to support care delivery or continuum of care. Healthcare entity’s management shall be aware of the risk environment  and outcomes of unauthorized access, and are accountable for any and all consequences and impact on:  Abu Dhabi Government  Abu Dhabi Healthcare -ecosystem or Health Sector  Patients concerned  Healthcare entity itself Page 45 of 116 Objective: To ensure access to informa tion and information systems are controlled, and to minimize probabilities of information leakage, tampering, loss and system compromises. Supporting or dependent entity policy references: 1) Clear Desk and Clear Screen Policy 2) Network Access Control Policy 3) Password Management Policy 4) Information Access Management as part of Administrative Safeguards of HIPAA 5) Facility Access Control as part of Physical Safeguards of HIPAA 6) Access Control as part of Technical Safeguards of HIPAA The level of applicability of abov e-mentioned policies will vary depending on the individual healthcare entity. Page 46 of 116",Basic,ADHICS_V1
AC,AC 2.1,"The healthcare entity shall implement a formal user registration and de - registration process. The healthcare entity shall : 1. Ensure re quest for user registration and de -registration are process driven, and are in compliance with established criteria for access 2. Ensure unique user accounts are created for each individual requiring access, and prohibit sharing of same account with multiple users 3. Ensure group user account are not created or used 4. Revoke user accounts during employee exit 5. Revalidate access requirements during role change 6. Maintain records/list of persons authorised to use healthcare entity’s information systems, applications, me dical devices and equipment 7. Establish and follow separate user registration and de -registration process for temporary and third party user account requirements Ac 2.2  The healthcare entity shall restrict and control allocation of privileges, based on principles of need to know. The healthcare entity shall : 1. Ensure normal user accounts are not used as service accounts or used to conduct privileged application and system level activities 2. Privilege or administrative accounts shall be used by individual w ith a role to conduct privilege activities 3. Ensure users privileges are restrictive in nature, and are assigned based on needs to conduct business activities 4. Privilege or administrative accounts shall not be used for conducting normal day to day operational  activity 5. Ensure usage of service accounts are controlled, and are not hardcoded in application codes are scripts 6. Enforce multifactor authentication scheme for all administrative  access 7. Mandate administrative or privilege access and associated activities  are logged and audited Page 48 of 116",Advanced,ADHICS_V1
AC,AC 2.3,"The healthcare entity shall establish process for secure allocation, use and management of security credentials. The healthcare entity shall : 1. Ensure default application and system passwords are changed and not being  used 2. Ensure passwords are always hashed and stored in encrypted format 3. During initial user account creation, communicate details of user account and password in two different communication modalit ies 4. Enforce complexity requirements on password characters,  and shall have at least : a. Eight characters b. One number, one upper -case and lower -case character, and a special character 5. Enforce passwords, including that of service accounts and privileged accounts, are recycled at an entity -defined time frame 6. Ensure that password history is maintained, and shall restrict users from using immediately used previous passwords  (at least 3 previous passwords) 7. Educate users to adopt good practices while selecting and using passwords UAE IA Reference: T5.2.1, T5.2.2, T5.2 .3,  T5.3.1, T5.5.3 Page 49 of 116",Basic,ADHICS_V1
AC,AC 3.1,"The healthcare entity shall protect confidential and secret information on portable or removable media, mobile or port able devices, and medical equipment or devices. The healthcare entity shall : 1. Authenticate user, where relevant, access to equipment, devices and media 2. Ensure media containing confidential and secret information is password protected and encrypted 3. Where rel evant, control access to medical equipment and devices through password enforcement in compliance with the healthcare entities password complexity and usage requirements 4. Control access to mobile and portable devices hosting confidential and secret informat ion 5. Establish mobile device management process to protect entity information being used, processed or stored in mobile devices",Transitional,ADHICS_V1
AC,AC 3.2,"The healthcare entity shall control access to equipment, devices , system and facilities at teleworking sites . The healthcare entity shall : 1. Ensure access to equipment, devices , system and facilities at teleworking sites are authenticated, and their access to entity resources are authorized based on need 2. Ensure confidentiality and protection of healthcare and pers onal health information while providing/consuming services through teleworking principles, including telemedicine related services 3. Conduct random audit of equipment, devices , system and facilities at teleworking sites 4. Maintain an inventory of assets in us e at teleworking sites UAE IA Reference: T5.7.1, T5.7.2 Page 50 of 116",Transitional,ADHICS_V1
AC,AC 5.2,The healthcare entity shall use appropriate authentication methods to  control access of remote users The healthcare entity shall : 1. Ensure all remote login and access are only through secure channels 2. Consider usage of multifactor authentication scheme to control access by remote users,Basic,ADHICS_V1
AC,AC 5.3,"The healthcare entity shall identify all equipment and devices connected to its network, and shall have au tomated mechanism to detect una uthorized equipment and devices",Basic,ADHICS_V1
AC,AC 5.4,"The healthcare entity shall control access for the purpose of diagnostic and configuration The healthcare entity shall : 1. Identify and whitelist all ports, services and utilities th at are used for troubleshoot ing, and for diagnostics and configuration  purposes 2. Define protection mechanism for the diagnostic and configuration services and utilities that are essential, and disable services and utilities that are not required. 3. Restrict a ccess for remote troubleshooting, diagnostic and configuration to authorized roles and shall be allowed from authorized workstations 4. Log all remote access activities related to troubleshooting, diagnostic and configuration",Advanced,ADHICS_V1
AC,AC 5.5,"User access to s hared and isolated networks shall be restricted The healthcare entity shall : 1. Provide access to shared and isolated networks in line with its Access Control Policy, requirements of business applications and need to access shared resources Page 52 of 116",Basic,ADHICS_V1
AC,AC 5.6,"The healthcare entity shall define and implement network routing controls to ensure information flow and system, devices, equipment connections are not compromised and are in line with requirements of Access Control Policy The healthcare entity shall : 1. Establis h process es for secure configuration and rules application for network routing requirements 2. Always ensure source and destination address and services or ports are used while defining and applying routing rules 3. Enable routing protection countermeasures to a void manipulation of routing systems and tables 4. Define and implement network architecture that segregates and isolates internal and publically accessible systems. 5. External connections to information systems and networks outside entity shall be managed thro ugh interfaces consisting of perimeter protection devices (such as firewalls) 6. Ensure that communications with external systems, networks and key internal systems are always monitored for malicious and suspicious payloads 7. Periodically scan for any covert ch annel connections to public networks bypassing entity security defence",Transitional,ADHICS_V1
AC,AC 5.7,"The healthcare entity shall ensure wireless access within the entity is secured. The healthcare entity shall : 1. Establish usage restrictions and secure configuration requirements 2. Establish authorization process for wireless access and usage 3. Ensure public and guest access are segregated and isolated from the entit y’s internal network 4. Ensure that internal wireless is not broadcasted 5. Authenticate wireless connections  usin g strong encryption mechanism and  based on entity’s internal authentication scheme 6. Control privileged and administrative activities are not carried out through the entit y’s  wireless network 7. Restrict wireless access capabilities of medical equipment and d evices UAE IA Reference: T5.4.1, T5.4.2, T5.4.3, T5.4.4, T5.4.5, T5.4.6, T5.4.7 Page 53 of 116",Transitional,ADHICS_V1
